iter	Logloss
0	0.6778443569
1	0.660922107
2	0.6490022778
3	0.6425121115
4	0.6253327044
5	0.6171777386
6	0.6108974477
7	0.605843207
8	0.5978585745
9	0.5922756289
10	0.583617565
11	0.57464423
12	0.5722974968
13	0.5617453419
14	0.5547660402
15	0.5480204297
16	0.5406512443
17	0.534552595
18	0.527679184
19	0.5230655886
20	0.5152074167
21	0.5084584203
22	0.4964207956
23	0.4901371903
24	0.4864928636
25	0.4770788235
26	0.4695386899
27	0.4668628514
28	0.4655561486
29	0.4597316438
30	0.4549377212
31	0.4523195074
32	0.4470380972
33	0.4459522463
34	0.4428347916
35	0.4405790083
36	0.4389397627
37	0.4380436764
38	0.4364556727
39	0.433482732
40	0.4278684252
41	0.4135906316
42	0.4123574897
43	0.4109200366
44	0.4099449641
45	0.4023108877
46	0.4008597625
47	0.3989282357
48	0.3979748353
49	0.3968201874
50	0.3940840527
51	0.3875533195
52	0.3863170432
53	0.384161151
54	0.3769927864
55	0.3756439237
56	0.3727195421
57	0.3707622689
58	0.3699558894
59	0.3693102717
60	0.3683708482
61	0.3672496791
62	0.3659755557
63	0.3656411893
64	0.3644212912
65	0.3624350513
66	0.3618980627
67	0.3608397692
68	0.3588752164
69	0.3579720817
70	0.3572903841
71	0.3567819306
72	0.3534055196
73	0.3529851934
74	0.3515275414
75	0.3470357454
76	0.3465613979
77	0.3459390097
78	0.3441880222
79	0.3438326246
80	0.3421586235
81	0.3406387241
82	0.3356058542
83	0.3310081879
84	0.3280117515
85	0.3253655072
86	0.3232980843
87	0.3213341356
88	0.3209806371
89	0.3206687706
90	0.3198606278
91	0.3196385921
92	0.3173667943
93	0.3156690544
94	0.3150849208
95	0.3142821035
96	0.3137088164
97	0.3128670417
98	0.3125630121
99	0.3121014232
100	0.3118002259
101	0.308096656
102	0.3075815368
103	0.3072916006
104	0.3046926389
105	0.3026478217
106	0.2992436189
107	0.2967557477
108	0.2958394283
109	0.2952288594
110	0.2944809905
111	0.2934940305
112	0.2921585754
113	0.2915070737
114	0.290804216
115	0.2898738706
116	0.28785467
117	0.2877356028
118	0.2871626423
119	0.2869485755
120	0.2857288701
121	0.2854866677
122	0.2853287042
123	0.2851674366
124	0.2845210727
125	0.2838588434
126	0.2822095451
127	0.2816526934
128	0.2808787913
129	0.2795866503
130	0.2785440755
131	0.2781972436
132	0.2778774273
133	0.276694886
134	0.2760931355
135	0.2759352354
136	0.2757692769
137	0.2756611485
138	0.2754912708
139	0.2742036998
140	0.2734083724
141	0.272191182
142	0.2719025487
143	0.2705956852
144	0.2694752748
145	0.266696822
146	0.2653183645
147	0.2648212227
148	0.2640930237
149	0.2635409711
150	0.2632610821
151	0.2608030163
152	0.2605677917
153	0.2603991416
154	0.2598172537
155	0.2595383545
156	0.2589363296
157	0.2580705343
158	0.2568991071
159	0.2567783424
160	0.2562556644
161	0.2554066695
162	0.2545261789
163	0.2543516191
164	0.2529800976
165	0.252550167
166	0.2520485757
167	0.2515791463
168	0.2512915011
169	0.25054264
170	0.2492599106
171	0.2487375095
172	0.2478835769
173	0.2473455821
174	0.247180493
175	0.2460580913
176	0.2438526458
177	0.2435348772
178	0.2423077529
179	0.2406480009
180	0.2397455304
181	0.2378139857
182	0.2356977574
183	0.2348401742
184	0.2338643785
185	0.2334405505
186	0.2330210215
187	0.2323219648
188	0.2313583125
189	0.2303732229
190	0.2296785537
191	0.2285122549
192	0.2283227813
193	0.2272831766
194	0.2269987456
195	0.225689656
196	0.224285238
197	0.223966879
198	0.2232297277
199	0.2217304998
200	0.220839705
201	0.2193784066
202	0.2183467693
203	0.2177100954
204	0.2169689223
205	0.2165736004
206	0.2159745671
207	0.2156079316
208	0.2152394724
209	0.2151087603
210	0.2145858984
211	0.213948483
212	0.2136690723
213	0.2132267274
214	0.212954717
215	0.2127895364
216	0.2120188981
217	0.2113962869
218	0.2110729003
219	0.2109326044
220	0.210655747
221	0.2104272792
222	0.2098062184
223	0.2094904292
224	0.2090861277
225	0.2089780463
226	0.2088021386
227	0.2085140584
228	0.2072111443
229	0.205856875
230	0.2047145313
