iter	Passed	Remaining
0	178	178246
1	197	98693
2	220	73130
3	244	60942
4	271	54047
5	294	48761
6	317	45043
7	339	42061
8	360	39699
9	382	37871
10	404	36371
11	426	35088
12	449	34094
13	470	33122
14	490	32193
15	512	31511
16	534	30886
17	554	30273
18	580	29957
19	601	29452
20	623	29084
21	644	28649
22	667	28334
23	690	28089
24	711	27754
25	733	27485
26	756	27250
27	777	27005
28	799	26763
29	821	26555
30	843	26371
31	862	26104
32	887	26013
33	909	25828
34	930	25662
35	952	25512
36	974	25369
37	996	25224
38	1017	25074
39	1037	24910
40	1059	24771
41	1082	24699
42	1104	24581
43	1124	24441
44	1143	24278
45	1168	24234
46	1189	24121
47	1212	24050
48	1233	23939
49	1254	23828
50	1274	23707
51	1296	23638
52	1318	23561
53	1339	23467
54	1363	23433
55	1383	23317
56	1403	23212
57	1426	23166
58	1449	23112
59	1469	23014
60	1490	22940
61	1512	22878
62	1532	22799
63	1552	22711
64	1575	22658
65	1596	22595
66	1616	22511
67	1639	22464
68	1660	22407
69	1680	22332
70	1699	22238
71	1720	22179
72	1741	22118
73	1763	22065
74	1786	22035
75	1809	21997
76	1829	21925
77	1848	21854
78	1870	21807
79	1891	21748
80	1910	21675
81	1932	21631
82	1954	21595
83	1978	21571
84	2005	21588
85	2033	21607
86	2058	21598
87	2086	21625
88	2114	21642
89	2141	21650
90	2167	21649
91	2193	21652
92	2218	21638
93	2245	21643
94	2272	21647
95	2298	21646
96	2325	21645
97	2348	21613
98	2373	21599
99	2400	21601
100	2426	21595
101	2454	21608
102	2478	21581
103	2504	21576
104	2531	21577
105	2559	21588
106	2593	21640
107	2622	21659
108	2649	21654
109	2673	21628
110	2698	21615
111	2724	21602
112	2751	21598
113	2774	21563
114	2803	21575
115	2831	21578
116	2856	21561
117	2882	21541
118	2906	21518
119	2931	21496
120	2955	21472
121	2980	21453
122	3005	21425
123	3031	21415
124	3054	21384
125	3082	21384
126	3109	21372
127	3134	21353
128	3159	21331
129	3184	21314
130	3210	21299
131	3241	21317
132	3264	21281
133	3292	21276
134	3316	21252
135	3343	21239
136	3367	21211
137	3391	21182
138	3418	21175
139	3445	21162
140	3469	21138
141	3494	21115
142	3520	21098
143	3547	21090
144	3573	21071
145	3603	21076
146	3634	21091
147	3659	21069
148	3686	21057
149	3723	21098
150	3758	21130
151	3802	21216
152	3834	21227
153	3864	21228
154	3895	21237
155	3919	21205
156	3948	21199
157	3979	21209
158	4006	21192
159	4032	21168
160	4058	21151
161	4085	21131
162	4111	21111
163	4141	21111
164	4175	21131
165	4206	21133
166	4239	21146
167	4274	21171
168	4304	21166
169	4337	21178
170	4372	21198
171	4403	21197
172	4435	21203
173	4466	21203
174	4496	21198
175	4524	21182
176	4556	21187
177	4587	21185
178	4629	21233
179	4657	21215
180	4685	21201
181	4716	21196
182	4752	21217
183	4781	21206
184	4816	21216
185	4848	21216
186	4878	21208
